area_id,sex,agegr_id,indicator,time,mean,se,median,lower,upper
MWI,female,19,plhiv,2016.25,77337.0699718209,4429.27539382638,77366.5600713012,68638.8647374054,86081.7157471222
MWI,female,20,plhiv,2016.25,51172.2205375127,3634.60643761839,51165.1160078525,44098.0927187033,58669.8350435363
MWI,female,29,plhiv,2016.25,83353.4553173447,7386.83945590532,83390.6797433381,69503.6175819903,97763.9330326658
MWI,male,14,num_art_reside,2016.25,3380.24839774907,918.695321053493,3284.68784933259,1856.16580399962,5388.98314627758
MWI,male,15,num_art_reside,2016.25,4248.9251169001,1090.3714533309,4120.14661786958,2435.97334303764,6639.7661550813
MWI,male,16,num_art_reside,2016.25,13755.5060673428,1947.11477861678,13647.2440651309,10272.4379286785,17758.336777022
MWI,male,17,num_art_reside,2016.25,21196.3756679293,2411.5872803766,21179.1158796754,16750.1563312376,26251.5001238017
MWI,male,18,num_art_reside,2016.25,34762.5899210718,2893.43192271869,34704.8736009949,29414.1998065887,40500.6975641626
MWI,male,19,num_art_reside,2016.25,35045.8279435357,2948.39907495113,34994.1710078577,29384.9241014707,41199.635196699
MWI,male,20,num_art_reside,2016.25,32672.2327431713,2753.82862673676,32670.4226985413,27301.775483112,38299.4337045672
MWI,male,29,num_art_reside,2016.25,57700.2972488228,5063.38901049729,57623.900422768,48344.2765892379,68136.7623156559
MWI,female,14,num_art_reside,2016.25,10935.9377572776,1589.96274050437,10854.0652442151,8010.53315449907,14130.8611669335
MWI,female,15,num_art_reside,2016.25,22781.4959455256,2328.29105369322,22645.501206715,18535.4420503203,27586.6769823844
MWI,female,16,num_art_reside,2016.25,47207.2439582915,3057.18329158607,47307.3169364969,41295.9166098942,53092.4571041663
MWI,female,17,num_art_reside,2016.25,59410.5612971807,3333.37428408149,59305.6499574852,53021.5829057515,66059.6131600776
MWI,female,18,num_art_reside,2016.25,71399.6755812936,3684.10522489669,71325.0423025396,64367.0909559813,78612.3898983556
MWI,female,19,num_art_reside,2016.25,59405.5277297274,3511.06290192388,59409.4170512333,52732.1110389961,66583.5979557051
MWI,female,20,num_art_reside,2016.25,39311.0471271167,2825.84328455813,39282.3021418337,33948.4446893148,45124.9159820652
MWI,female,29,num_art_reside,2016.25,59691.8324970638,5496.04843210769,59753.4068889138,49473.2596226651,70810.4772313183
MWI,male,14,num_art_facility,2016.25,3380.24839774907,918.695321053493,3284.68784933259,1856.16580399962,5388.98314627758
MWI,male,15,num_art_facility,2016.25,4248.9251169001,1090.3714533309,4120.14661786958,2435.97334303764,6639.7661550813
MWI,male,16,num_art_facility,2016.25,13755.5060673428,1947.11477861678,13647.2440651309,10272.4379286785,17758.336777022
MWI,male,17,num_art_facility,2016.25,21196.3756679293,2411.5872803766,21179.1158796754,16750.1563312376,26251.5001238017
MWI,male,18,num_art_facility,2016.25,34762.5899210718,2893.43192271869,34704.8736009949,29414.1998065887,40500.6975641626
